shipmode;sales;quantity;discount;profit;segment;region;state;subcategory;category;orderdate_day;orderdate_month;orderdate_year;shipdate_day;shipdate_month;shipdate_year;preparationtime;Pais1;Pais2;Pais3;Pais4;Pais5;Pais6
Standard Class;1008;2;2;3276;Home Office;East;Pennsylvania;Labels   ;Office Supplies;8;7;2015;14;7;2015;6;España;Francia;Italia;Portugal;;
Standard Class;4386;6;0;206142;Consumer;West;California;Labels   ;Office Supplies;30;10;2016;5;11;2016;6;España;Francia;Italia;Portugal;;
Standard Class;1462;2;0;68714;Home Office;West;Montana;Labels   ;Office Supplies;23;1;2014;27;1;2014;4;España;Francia;Italia;Portugal;;
Same Day;2065;5;0;9499;Corporate;South;Kentucky;Labels   ;Office Supplies;9;5;2013;9;5;2013;0;España;Francia;Italia;Portugal;;
Second Class;1652;5;2;5369;Corporate;West;Arizona;Labels   ;Office Supplies;21;11;2014;23;11;2014;2;España;Francia;Italia;Portugal;;
Standard Class;2891;7;0;132986;Home Office;East;New York;Labels   ;Office Supplies;19;3;2016;24;3;2016;5;España;Francia;Italia;Portugal;;
First Class;189;3;0;8694;Corporate;West;California;Labels   ;Office Supplies;16;11;2014;18;11;2014;2;España;Francia;Italia;Portugal;;
First Class;189;3;0;8694;Corporate;West;California;Labels   ;Office Supplies;24;9;2015;27;9;2015;3;España;Francia;Italia;Portugal;;
First Class;189;3;0;8694;Corporate;East;New York;Labels   ;Office Supplies;31;12;2013;1;1;2014;1;España;Francia;Italia;Portugal;;
Standard Class;2016;4;2;6552;Corporate;Central;Illinois;Labels   ;Office Supplies;14;9;2013;19;9;2013;5;España;Francia;Italia;Portugal;;
Standard Class;189;3;0;8694;Consumer;Central;Kansas;Labels   ;Office Supplies;14;6;2015;18;6;2015;4;España;Francia;Italia;Portugal;;
Standard Class;4608;2;2;16704;Home Office;South;Tennessee;Labels   ;Office Supplies;17;3;2016;23;3;2016;6;España;Francia;Italia;Portugal;;
Standard Class;2304;8;0;112896;Consumer;West;California;Labels   ;Office Supplies;17;4;2016;22;4;2016;5;España;Francia;Italia;Portugal;;
Second Class;6912;3;2;25056;Consumer;East;Ohio;Labels   ;Office Supplies;24;8;2014;26;8;2014;2;España;Francia;Italia;Portugal;;
Standard Class;864;3;0;42336;Consumer;West;California;Labels   ;Office Supplies;11;9;2014;15;9;2014;4;España;Francia;Italia;Portugal;;
Standard Class;864;3;0;42336;Consumer;South;Georgia;Labels   ;Office Supplies;23;8;2014;28;8;2014;5;España;Francia;Italia;Portugal;;
Standard Class;9216;4;2;33408;Consumer;South;Tennessee;Labels   ;Office Supplies;25;12;2014;31;12;2014;6;España;Francia;Italia;Portugal;;
Standard Class;576;2;0;28224;Consumer;East;New York;Labels   ;Office Supplies;15;12;2015;20;12;2015;5;España;Francia;Italia;Portugal;;
Standard Class;4608;2;2;16704;Home Office;South;Florida;Labels   ;Office Supplies;30;4;2016;5;5;2016;5;España;Francia;Italia;Portugal;;
First Class;6912;3;2;25056;Consumer;East;Pennsylvania;Labels   ;Office Supplies;19;12;2014;22;12;2014;3;España;Francia;Italia;Portugal;;
Standard Class;2946;6;0;144354;Home Office;Central;Oklahoma;Labels   ;Office Supplies;16;10;2015;22;10;2015;6;España;Francia;Italia;Portugal;;
Standard Class;982;2;0;48118;Consumer;East;New Jersey;Labels   ;Office Supplies;20;6;2016;27;6;2016;7;España;Francia;Italia;Portugal;;
Standard Class;11784;3;2;42717;Corporate;South;North Carolina;Labels   ;Office Supplies;5;7;2014;11;7;2014;6;España;Francia;Italia;Portugal;;
Standard Class;1473;3;0;72177;Consumer;West;California;Labels   ;Office Supplies;5;2;2015;10;2;2015;5;España;Francia;Italia;Portugal;;
Second Class;982;2;0;48118;Corporate;South;Georgia;Labels   ;Office Supplies;13;1;2014;15;1;2014;2;España;Francia;Italia;Portugal;;
Standard Class;11784;3;2;42717;Home Office;Central;Illinois;Labels   ;Office Supplies;4;1;2013;8;1;2013;4;España;Francia;Italia;Portugal;;
First Class;576;2;0;28224;Consumer;East;Connecticut;Labels   ;Office Supplies;30;4;2016;2;5;2016;2;España;Francia;Italia;Portugal;;
Standard Class;444;3;0;222;Home Office;West;California;Labels   ;Office Supplies;1;11;2013;8;11;2013;7;España;Francia;Italia;Portugal;;
Standard Class;444;3;0;222;Consumer;West;California;Labels   ;Office Supplies;22;1;2015;28;1;2015;6;España;Francia;Italia;Portugal;;
Second Class;444;3;0;222;Corporate;West;California;Labels   ;Office Supplies;16;12;2016;20;12;2016;4;España;Francia;Italia;Portugal;;
Standard Class;1332;9;0;666;Consumer;Central;Indiana;Labels   ;Office Supplies;5;8;2016;9;8;2016;4;España;Francia;Italia;Portugal;;
Second Class;42742;14;0;1966132;Corporate;West;California;Labels   ;Office Supplies;31;10;2014;4;11;2014;4;España;Francia;Italia;Portugal;;
Same Day;24424;1;2;79378;Consumer;East;Ohio;Labels   ;Office Supplies;24;9;2014;24;9;2014;0;España;Francia;Italia;Portugal;;
Standard Class;48848;2;2;158756;Home Office;Central;Texas;Labels   ;Office Supplies;19;11;2015;23;11;2015;4;España;Francia;Italia;Portugal;;
Standard Class;6106;2;0;280876;Consumer;West;California;Labels   ;Office Supplies;18;2;2014;24;2;2014;6;España;Francia;Italia;Portugal;;
Standard Class;15265;5;0;70219;Corporate;West;California;Labels   ;Office Supplies;15;10;2016;20;10;2016;5;España;Francia;Italia;Portugal;;
Standard Class;9159;3;0;421314;Consumer;East;New York;Labels   ;Office Supplies;7;3;2016;12;3;2016;5;España;Francia;Italia;Portugal;;
Standard Class;6106;2;0;280876;Consumer;Central;Wisconsin;Labels   ;Office Supplies;8;12;2016;13;12;2016;5;España;Francia;Italia;Portugal;;
First Class;97696;4;2;317512;Home Office;East;Pennsylvania;Labels   ;Office Supplies;14;5;2014;17;5;2014;3;España;Francia;Italia;Portugal;;
Same Day;12212;5;2;39689;Consumer;South;North Carolina;Labels   ;Office Supplies;6;5;2016;6;5;2016;0;España;Francia;Italia;Portugal;;
Second Class;24424;1;2;79378;Home Office;Central;Illinois;Labels   ;Office Supplies;20;10;2013;22;10;2013;2;España;Francia;Italia;Portugal;;
Standard Class;12212;4;0;561752;Consumer;East;New York;Labels   ;Office Supplies;24;6;2015;29;6;2015;5;España;Francia;Italia;Portugal;;
Standard Class;3759;3;0;176673;Home Office;Central;Wisconsin;Labels   ;Office Supplies;24;8;2015;30;8;2015;6;España;Francia;Italia;Portugal;;
Same Day;2506;2;0;117782;Consumer;Central;Wisconsin;Labels   ;Office Supplies;5;3;2016;5;3;2016;0;España;Francia;Italia;Portugal;;
Standard Class;578;2;0;27166;Consumer;West;California;Labels   ;Office Supplies;1;4;2016;5;4;2016;4;España;Francia;Italia;Portugal;;
Standard Class;2023;7;0;95081;Consumer;Central;South Dakota;Labels   ;Office Supplies;25;7;2016;31;7;2016;6;España;Francia;Italia;Portugal;;
Standard Class;9248;4;2;31212;Consumer;Central;Illinois;Labels   ;Office Supplies;31;7;2015;5;8;2015;5;España;Francia;Italia;Portugal;;
Standard Class;12;4;2;42;Home Office;South;Tennessee;Labels   ;Office Supplies;22;9;2014;26;9;2014;4;España;Francia;Italia;Portugal;;
Second Class;375;1;0;18;Corporate;West;California;Labels   ;Office Supplies;20;10;2016;22;10;2016;2;España;Francia;Italia;Portugal;;
Second Class;6;2;2;21;Consumer;Central;Texas;Labels   ;Office Supplies;20;1;2016;24;1;2016;4;España;Francia;Italia;Portugal;;
Standard Class;1107;3;0;52029;Consumer;West;Washington;Labels   ;Office Supplies;13;9;2015;17;9;2015;4;España;Francia;Italia;Portugal;;
First Class;369;1;0;17343;Consumer;Central;Indiana;Labels   ;Office Supplies;20;12;2013;23;12;2013;3;España;Francia;Italia;Portugal;;
Same Day;738;2;0;34686;Corporate;Central;Wisconsin;Labels   ;Office Supplies;18;11;2016;18;11;2016;0;España;Francia;Italia;Portugal;;
Standard Class;738;2;0;34686;Consumer;West;Washington;Labels   ;Office Supplies;11;9;2015;15;9;2015;4;España;Francia;Italia;Portugal;;
First Class;23616;8;2;79704;Consumer;East;Pennsylvania;Labels   ;Office Supplies;11;6;2015;13;6;2015;2;España;Francia;Italia;Portugal;;
Second Class;2583;7;0;121401;Consumer;East;New York;Labels   ;Office Supplies;24;6;2015;28;6;2015;4;España;Francia;Italia;Portugal;;
Standard Class;5904;2;2;19926;Consumer;East;Ohio;Labels   ;Office Supplies;31;12;2015;5;1;2016;5;España;Francia;Italia;Portugal;;
Second Class;63;2;0;3024;Corporate;West;California;Labels   ;Office Supplies;23;7;2015;25;7;2015;2;España;Francia;Italia;Portugal;;
First Class;945;3;0;4536;Consumer;East;New York;Labels   ;Office Supplies;5;12;2016;8;12;2016;3;España;Francia;Italia;Portugal;;
Standard Class;1575;5;0;756;Consumer;West;Utah;Labels   ;Office Supplies;31;5;2014;4;6;2014;4;España;Francia;Italia;Portugal;;
Standard Class;315;10;0;1512;Consumer;East;New York;Labels   ;Office Supplies;17;5;2014;23;5;2014;6;España;Francia;Italia;Portugal;;
Standard Class;2835;9;0;13608;Consumer;West;California;Labels   ;Office Supplies;8;12;2016;12;12;2016;4;España;Francia;Italia;Portugal;;
Standard Class;1575;5;0;756;Home Office;South;Georgia;Labels   ;Office Supplies;24;9;2016;28;9;2016;4;España;Francia;Italia;Portugal;;
Standard Class;315;1;0;1512;Corporate;West;California;Labels   ;Office Supplies;22;7;2015;27;7;2015;5;España;Francia;Italia;Portugal;;
Standard Class;2368;2;2;888;Home Office;Central;Texas;Labels   ;Office Supplies;4;11;2016;11;11;2016;7;España;Francia;Italia;Portugal;;
Standard Class;296;2;0;148;Consumer;West;California;Labels   ;Office Supplies;26;9;2015;2;10;2015;6;España;Francia;Italia;Portugal;;
Standard Class;7104;6;2;2664;Home Office;West;Oregon;Labels   ;Office Supplies;25;6;2016;2;7;2016;7;España;Francia;Italia;Portugal;;
Standard Class;1036;7;0;518;Consumer;Central;Michigan;Labels   ;Office Supplies;9;9;2013;15;9;2013;6;España;Francia;Italia;Portugal;;
First Class;296;2;0;148;Home Office;West;California;Labels   ;Office Supplies;10;6;2016;13;6;2016;3;España;Francia;Italia;Portugal;;
Standard Class;888;6;0;444;Consumer;West;California;Labels   ;Office Supplies;29;12;2013;3;1;2014;5;España;Francia;Italia;Portugal;;
Standard Class;2368;2;2;888;Home Office;Central;Texas;Labels   ;Office Supplies;23;11;2013;29;11;2013;6;España;Francia;Italia;Portugal;;
Standard Class;444;3;0;222;Consumer;East;New York;Labels   ;Office Supplies;8;5;2015;12;5;2015;4;España;Francia;Italia;Portugal;;
First Class;1036;7;0;518;Consumer;South;Virginia;Labels   ;Office Supplies;14;8;2015;17;8;2015;3;España;Francia;Italia;Portugal;;
Standard Class;78648;8;0;3853752;Consumer;West;Washington;Labels   ;Office Supplies;8;7;2016;15;7;2016;7;España;Francia;Italia;Portugal;;
Second Class;235944;3;2;855297;Consumer;South;Florida;Labels   ;Office Supplies;24;9;2016;26;9;2016;2;España;Francia;Italia;Portugal;;
Second Class;629184;8;2;2280792;Corporate;West;Oregon;Labels   ;Office Supplies;5;11;2015;7;11;2015;2;España;Francia;Italia;Portugal;;
First Class;19662;2;0;963438;Consumer;South;Virginia;Labels   ;Office Supplies;11;12;2014;12;12;2014;1;España;Francia;Italia;Portugal;;
Second Class;49155;5;0;2408595;Corporate;Central;Michigan;Labels   ;Office Supplies;10;6;2013;15;6;2013;5;España;Francia;Italia;Portugal;;
Second Class;49155;5;0;2408595;Consumer;South;Alabama;Labels   ;Office Supplies;16;3;2014;19;3;2014;3;España;Francia;Italia;Portugal;;
Standard Class;19662;2;0;963438;Corporate;Central;Michigan;Labels   ;Office Supplies;24;11;2013;29;11;2013;5;España;Francia;Italia;Portugal;;
Standard Class;29493;3;0;1445157;Consumer;South;Kentucky;Labels   ;Office Supplies;3;7;2014;9;7;2014;6;España;Francia;Italia;Portugal;;
Standard Class;18432;8;2;59904;Corporate;South;Tennessee;Labels   ;Office Supplies;18;12;2014;25;12;2014;7;España;Francia;Italia;Portugal;;
Standard Class;576;2;0;26496;Corporate;West;California;Labels   ;Office Supplies;26;10;2014;30;10;2014;4;España;Francia;Italia;Portugal;;
Standard Class;491;1;0;24059;Consumer;East;New Jersey;Labels   ;Office Supplies;29;4;2016;4;5;2016;5;España;Francia;Italia;Portugal;;
First Class;982;2;0;48118;Home Office;East;New York;Labels   ;Office Supplies;9;4;2016;11;4;2016;2;España;Francia;Italia;Portugal;;
Same Day;731;1;0;34357;Home Office;East;New York;Labels   ;Office Supplies;10;12;2014;10;12;2014;0;España;Francia;Italia;Portugal;;
Standard Class;17544;3;2;59211;Corporate;East;Pennsylvania;Labels   ;Office Supplies;13;8;2016;20;8;2016;7;España;Francia;Italia;Portugal;;
Standard Class;11696;2;2;39474;Home Office;South;Florida;Labels   ;Office Supplies;20;12;2014;25;12;2014;5;España;Francia;Italia;Portugal;;
Second Class;2193;3;0;103071;Consumer;East;New York;Labels   ;Office Supplies;18;4;2014;23;4;2014;5;España;Francia;Italia;Portugal;;
Standard Class;1462;2;0;68714;Consumer;West;Washington;Labels   ;Office Supplies;12;6;2015;16;6;2015;4;España;Francia;Italia;Portugal;;
Second Class;5848;8;0;274856;Consumer;East;Maryland;Labels   ;Office Supplies;4;9;2015;9;9;2015;5;España;Francia;Italia;Portugal;;
Standard Class;1462;2;0;68714;Corporate;Central;South Dakota;Labels   ;Office Supplies;20;7;2016;25;7;2016;5;España;Francia;Italia;Portugal;;
First Class;1462;2;0;68714;Corporate;West;California;Labels   ;Office Supplies;8;11;2015;10;11;2015;2;España;Francia;Italia;Portugal;;
Second Class;731;1;0;34357;Consumer;East;New York;Labels   ;Office Supplies;17;3;2016;22;3;2016;5;España;Francia;Italia;Portugal;;
Standard Class;13216;4;2;42952;Consumer;Central;Texas;Labels   ;Office Supplies;19;5;2016;25;5;2016;6;España;Francia;Italia;Portugal;;
Standard Class;2891;7;0;132986;Consumer;Central;Michigan;Labels   ;Office Supplies;1;6;2014;5;6;2014;4;España;Francia;Italia;Portugal;;
Standard Class;3304;1;2;10738;Consumer;East;Pennsylvania;Labels   ;Office Supplies;25;7;2016;29;7;2016;4;España;Francia;Italia;Portugal;;
Standard Class;867;3;0;40749;Corporate;West;California;Labels   ;Office Supplies;11;7;2016;15;7;2016;4;España;Francia;Italia;Portugal;;
Standard Class;289;1;0;13583;Corporate;South;Virginia;Labels   ;Office Supplies;10;1;2013;15;1;2013;5;España;Francia;Italia;Portugal;;
First Class;15712;4;2;56956;Corporate;Central;Texas;Labels   ;Office Supplies;29;4;2015;2;5;2015;3;España;Francia;Italia;Portugal;;
Second Class;982;2;0;48118;Corporate;West;California;Labels   ;Office Supplies;19;2;2016;22;2;2016;3;España;Francia;Italia;Portugal;;
Standard Class;15712;4;2;56956;Corporate;Central;Texas;Labels   ;Office Supplies;26;7;2015;30;7;2015;4;España;Francia;Italia;Portugal;;
Same Day;1473;3;0;72177;Consumer;South;Georgia;Labels   ;Office Supplies;23;5;2015;23;5;2015;0;España;Francia;Italia;Portugal;;
Second Class;576;2;0;26496;Consumer;South;Kentucky;Labels   ;Office Supplies;9;12;2016;12;12;2016;3;España;Francia;Italia;Portugal;;
Standard Class;1152;5;2;3744;Consumer;West;Oregon;Labels   ;Office Supplies;8;12;2013;13;12;2013;5;España;Francia;Italia;Portugal;;
Standard Class;1728;6;0;79488;Consumer;East;Delaware;Labels   ;Office Supplies;21;12;2013;25;12;2013;4;España;Francia;Italia;Portugal;;
Standard Class;144;5;0;6624;Corporate;South;Virginia;Labels   ;Office Supplies;21;3;2013;25;3;2013;4;España;Francia;Italia;Portugal;;
First Class;4608;2;2;14976;Consumer;South;Florida;Labels   ;Office Supplies;1;5;2016;2;5;2016;1;España;Francia;Italia;Portugal;;
First Class;20808;9;2;70227;Home Office;East;Pennsylvania;Labels   ;Office Supplies;21;9;2013;24;9;2013;3;España;Francia;Italia;Portugal;;
Second Class;1156;4;0;54332;Home Office;West;California;Labels   ;Office Supplies;27;12;2013;30;12;2013;3;España;Francia;Italia;Portugal;;
Second Class;867;3;0;40749;Corporate;East;New York;Labels   ;Office Supplies;19;2;2015;23;2;2015;4;España;Francia;Italia;Portugal;;
Standard Class;6936;3;2;23409;Home Office;Central;Texas;Labels   ;Office Supplies;23;2;2013;27;2;2013;4;España;Francia;Italia;Portugal;;
Standard Class;578;2;0;27166;Home Office;West;California;Labels   ;Office Supplies;6;5;2013;11;5;2013;5;España;Francia;Italia;Portugal;;
Standard Class;1239;3;0;56994;Consumer;Central;Indiana;Labels   ;Office Supplies;29;5;2014;3;6;2014;5;España;Francia;Italia;Portugal;;
Standard Class;1652;4;0;75992;Consumer;East;New Hampshire;Labels   ;Office Supplies;14;3;2014;18;3;2014;4;España;Francia;Italia;Portugal;;
Standard Class;2065;5;0;9499;Consumer;West;California;Labels   ;Office Supplies;22;1;2015;28;1;2015;6;España;Francia;Italia;Portugal;;
Standard Class;1652;5;2;5369;Home Office;East;Pennsylvania;Labels   ;Office Supplies;23;9;2015;30;9;2015;7;España;Francia;Italia;Portugal;;
First Class;1652;5;2;5369;Consumer;East;Ohio;Labels   ;Office Supplies;3;8;2016;6;8;2016;3;España;Francia;Italia;Portugal;;
Standard Class;19824;6;2;64428;Consumer;Central;Illinois;Labels   ;Office Supplies;5;11;2014;9;11;2014;4;España;Francia;Italia;Portugal;;
First Class;9912;3;2;32214;Consumer;South;Florida;Labels   ;Office Supplies;23;3;2013;26;3;2013;3;España;Francia;Italia;Portugal;;
Standard Class;413;1;0;18998;Home Office;South;Virginia;Labels   ;Office Supplies;5;8;2015;9;8;2015;4;España;Francia;Italia;Portugal;;
Standard Class;826;2;0;37996;Consumer;West;California;Labels   ;Office Supplies;22;5;2014;26;5;2014;4;España;Francia;Italia;Portugal;;
Standard Class;1239;3;0;56994;Corporate;South;Georgia;Labels   ;Office Supplies;3;11;2016;7;11;2016;4;España;Francia;Italia;Portugal;;
Standard Class;3552;3;2;1332;Corporate;Central;Texas;Labels   ;Office Supplies;6;8;2014;10;8;2014;4;España;Francia;Italia;Portugal;;
First Class;4736;4;2;1776;Corporate;Central;Illinois;Labels   ;Office Supplies;29;8;2016;1;9;2016;3;España;Francia;Italia;Portugal;;
Standard Class;2368;2;2;888;Corporate;East;Ohio;Labels   ;Office Supplies;2;1;2014;9;1;2014;7;España;Francia;Italia;Portugal;;
First Class;74;5;0;37;Corporate;East;Maryland;Labels   ;Office Supplies;14;5;2016;17;5;2016;3;España;Francia;Italia;Portugal;;
Standard Class;592;5;2;222;Consumer;South;Tennessee;Labels   ;Office Supplies;21;3;2013;25;3;2013;4;España;Francia;Italia;Portugal;;
First Class;592;4;0;296;Consumer;East;New York;Labels   ;Office Supplies;6;5;2016;8;5;2016;2;España;Francia;Italia;Portugal;;
Standard Class;74;5;0;37;Consumer;West;California;Labels   ;Office Supplies;2;9;2016;8;9;2016;6;España;Francia;Italia;Portugal;;
Standard Class;2506;2;0;117782;Consumer;South;Virginia;Labels   ;Office Supplies;6;9;2015;11;9;2015;5;España;Francia;Italia;Portugal;;
First Class;8771;7;0;412237;Consumer;West;California;Labels   ;Office Supplies;4;11;2015;7;11;2015;3;España;Francia;Italia;Portugal;;
Second Class;2506;2;0;117782;Corporate;South;Virginia;Labels   ;Office Supplies;7;8;2014;9;8;2014;2;España;Francia;Italia;Portugal;;
Same Day;3759;3;0;176673;Consumer;West;Washington;Labels   ;Office Supplies;11;5;2016;12;5;2016;1;España;Francia;Italia;Portugal;;
Standard Class;60144;6;2;202986;Home Office;Central;Texas;Labels   ;Office Supplies;9;10;2015;16;10;2015;7;España;Francia;Italia;Portugal;;
Standard Class;1152;4;0;56448;Home Office;West;California;Labels   ;Office Supplies;6;3;2016;10;3;2016;4;España;Francia;Italia;Portugal;;
Standard Class;2016;7;0;98784;Home Office;Central;Oklahoma;Labels   ;Office Supplies;16;10;2015;22;10;2015;6;España;Francia;Italia;Portugal;;
Standard Class;864;3;0;42336;Consumer;West;California;Labels   ;Office Supplies;13;12;2016;18;12;2016;5;España;Francia;Italia;Portugal;;
Standard Class;9216;4;2;33408;Home Office;South;North Carolina;Labels   ;Office Supplies;22;8;2015;28;8;2015;6;España;Francia;Italia;Portugal;;
Standard Class;144;5;0;7056;Consumer;Central;Nebraska;Labels   ;Office Supplies;14;9;2015;19;9;2015;5;España;Francia;Italia;Portugal;;
Standard Class;288;1;0;14112;Home Office;West;California;Labels   ;Office Supplies;9;7;2013;13;7;2013;4;España;Francia;Italia;Portugal;;
Same Day;5904;2;2;19926;Home Office;East;Pennsylvania;Labels   ;Office Supplies;19;6;2014;19;6;2014;0;España;Francia;Italia;Portugal;;
First Class;20664;7;2;69741;Corporate;East;Pennsylvania;Labels   ;Office Supplies;30;9;2016;2;10;2016;2;España;Francia;Italia;Portugal;;
Standard Class;13872;6;2;46818;Corporate;South;Florida;Labels   ;Office Supplies;26;6;2016;1;7;2016;5;España;Francia;Italia;Portugal;;
First Class;2601;9;0;122247;Consumer;West;California;Labels   ;Office Supplies;30;1;2015;31;1;2015;1;España;Francia;Italia;Portugal;;
Standard Class;1445;5;0;67915;Consumer;West;California;Labels   ;Office Supplies;4;10;2013;8;10;2013;4;España;Francia;Italia;Portugal;;
Standard Class;1156;4;0;54332;Consumer;West;Washington;Labels   ;Office Supplies;10;6;2016;15;6;2016;5;España;Francia;Italia;Portugal;;
Second Class;18496;8;2;62424;Home Office;East;Ohio;Labels   ;Office Supplies;21;11;2015;25;11;2015;4;España;Francia;Italia;Portugal;;
Second Class;11952;3;2;38844;Corporate;Central;Illinois;Labels   ;Office Supplies;6;12;2015;9;12;2015;3;España;Francia;Italia;Portugal;;
First Class;15936;4;2;51792;Corporate;East;Pennsylvania;Labels   ;Office Supplies;30;9;2015;3;10;2015;3;España;Francia;Italia;Portugal;;
Standard Class;996;2;0;45816;Consumer;West;Washington;Labels   ;Office Supplies;12;11;2016;16;11;2016;4;España;Francia;Italia;Portugal;;
Standard Class;15936;4;2;51792;Consumer;East;Pennsylvania;Labels   ;Office Supplies;1;12;2016;5;12;2016;4;España;Francia;Italia;Portugal;;
Second Class;1494;3;0;68724;Consumer;Central;Missouri;Labels   ;Office Supplies;11;2;2013;15;2;2013;4;España;Francia;Italia;Portugal;;
Standard Class;1494;3;0;68724;Consumer;West;Nevada;Labels   ;Office Supplies;6;12;2014;10;12;2014;4;España;Francia;Italia;Portugal;;
Second Class;216;6;0;9936;Consumer;East;New York;Labels   ;Office Supplies;5;12;2016;8;12;2016;3;España;Francia;Italia;Portugal;;
First Class;18;5;0;828;Corporate;East;New Jersey;Labels   ;Office Supplies;25;1;2015;27;1;2015;2;España;Francia;Italia;Portugal;;
Second Class;1152;4;2;3744;Consumer;East;Ohio;Labels   ;Office Supplies;4;9;2016;9;9;2016;5;España;Francia;Italia;Portugal;;
Second Class;3888;6;0;186624;Corporate;South;Georgia;Labels   ;Office Supplies;13;7;2014;15;7;2014;2;España;Francia;Italia;Portugal;;
Standard Class;324;5;0;15552;Consumer;West;California;Labels   ;Office Supplies;17;8;2015;23;8;2015;6;España;Francia;Italia;Portugal;;
Second Class;648;1;0;31104;Consumer;West;Washington;Labels   ;Office Supplies;27;8;2015;30;8;2015;3;España;Francia;Italia;Portugal;;
Standard Class;2592;4;0;124416;Corporate;West;Idaho;Labels   ;Office Supplies;10;12;2013;14;12;2013;4;España;Francia;Italia;Portugal;;
Standard Class;1296;2;0;62208;Consumer;West;California;Labels   ;Office Supplies;9;4;2015;13;4;2015;4;España;Francia;Italia;Portugal;;
Standard Class;31104;6;2;108864;Consumer;West;Colorado;Labels   ;Office Supplies;23;8;2013;27;8;2013;4;España;Francia;Italia;Portugal;;
Standard Class;36288;7;2;127008;Consumer;South;Tennessee;Labels   ;Office Supplies;15;1;2016;19;1;2016;4;España;Francia;Italia;Portugal;;
Standard Class;2592;5;2;9072;Consumer;Central;Texas;Labels   ;Office Supplies;22;12;2016;26;12;2016;4;España;Francia;Italia;Portugal;;
Second Class;10368;2;2;36288;Consumer;South;Florida;Labels   ;Office Supplies;11;4;2013;13;4;2013;2;España;Francia;Italia;Portugal;;
Standard Class;2592;4;0;124416;Home Office;South;South Carolina;Labels   ;Office Supplies;15;9;2015;19;9;2015;4;España;Francia;Italia;Portugal;;
First Class;648;1;0;31104;Corporate;Central;Nebraska;Labels   ;Office Supplies;21;9;2013;22;9;2013;1;España;Francia;Italia;Portugal;;
Standard Class;36288;7;2;127008;Consumer;Central;Texas;Labels   ;Office Supplies;16;12;2013;21;12;2013;5;España;Francia;Italia;Portugal;;
Same Day;648;1;0;31104;Consumer;Central;Iowa;Labels   ;Office Supplies;13;8;2015;13;8;2015;0;España;Francia;Italia;Portugal;;
Standard Class;10368;2;2;36288;Consumer;East;Pennsylvania;Labels   ;Office Supplies;24;5;2015;28;5;2015;4;España;Francia;Italia;Portugal;;
Standard Class;648;1;0;31104;Consumer;West;Nevada;Labels   ;Office Supplies;6;12;2014;10;12;2014;4;España;Francia;Italia;Portugal;;
First Class;20736;4;2;72576;Corporate;Central;Texas;Labels   ;Office Supplies;8;9;2016;11;9;2016;3;España;Francia;Italia;Portugal;;
First Class;5184;8;0;248832;Home Office;East;New York;Labels   ;Office Supplies;12;10;2014;14;10;2014;2;España;Francia;Italia;Portugal;;
First Class;5184;8;0;248832;Corporate;Central;Wisconsin;Labels   ;Office Supplies;20;3;2014;23;3;2014;3;España;Francia;Italia;Portugal;;
Second Class;2592;4;0;124416;Home Office;Central;Minnesota;Labels   ;Office Supplies;1;6;2013;6;6;2013;5;España;Francia;Italia;Portugal;;
Second Class;16488;3;0;807912;Corporate;West;Utah;Labels   ;Office Supplies;17;9;2016;21;9;2016;4;España;Francia;Italia;Portugal;;
Standard Class;307776;7;2;1115688;Corporate;West;Arizona;Labels   ;Office Supplies;16;10;2016;21;10;2016;5;España;Francia;Italia;Portugal;;
Second Class;16488;3;0;807912;Consumer;East;Maryland;Labels   ;Office Supplies;30;9;2016;2;10;2016;2;España;Francia;Italia;Portugal;;
Standard Class;5496;1;0;269304;Consumer;East;New York;Labels   ;Office Supplies;3;12;2015;8;12;2015;5;España;Francia;Italia;Portugal;;
First Class;16488;3;0;807912;Home Office;West;California;Labels   ;Office Supplies;7;12;2013;8;12;2013;1;España;Francia;Italia;Portugal;;
Standard Class;60736;8;2;204984;Consumer;Central;Texas;Labels   ;Office Supplies;23;10;2014;28;10;2014;5;España;Francia;Italia;Portugal;;
Standard Class;22776;3;2;76869;Consumer;West;Oregon;Labels   ;Office Supplies;24;2;2013;2;3;2013;6;España;Francia;Italia;Portugal;;
Standard Class;1898;2;0;89206;Consumer;East;New York;Labels   ;Office Supplies;9;10;2016;14;10;2016;5;España;Francia;Italia;Portugal;;
Standard Class;12297;3;0;602553;Corporate;South;South Carolina;Labels   ;Office Supplies;7;4;2013;12;4;2013;5;España;Francia;Italia;Portugal;;
Standard Class;8198;2;0;401702;Consumer;West;Washington;Labels   ;Office Supplies;11;9;2015;15;9;2015;4;España;Francia;Italia;Portugal;;
First Class;20495;5;0;1004255;Consumer;East;New Jersey;Labels   ;Office Supplies;28;11;2015;1;12;2015;3;España;Francia;Italia;Portugal;;
Second Class;360712;11;2;1307581;Home Office;Central;Texas;Labels   ;Office Supplies;8;12;2014;11;12;2014;3;España;Francia;Italia;Portugal;;
Standard Class;36891;9;0;1807659;Corporate;West;California;Labels   ;Office Supplies;19;9;2015;23;9;2015;4;España;Francia;Italia;Portugal;;
Second Class;229544;7;2;832097;Consumer;South;North Carolina;Labels   ;Office Supplies;31;8;2016;4;9;2016;4;España;Francia;Italia;Portugal;;
Standard Class;28693;7;0;1405957;Consumer;South;Georgia;Labels   ;Office Supplies;19;5;2016;23;5;2016;4;España;Francia;Italia;Portugal;;
